n,sigma,config,pattern,test,rejection
100,1.0,"$N{=}100, \sigma{=}1$",small pretrend,Raw Wald,0.051
100,1.0,"$N{=}100, \sigma{=}1$",small pretrend,Parametric slope,0.073
100,1.0,"$N{=}100, \sigma{=}1$",small pretrend,EB Wald,0.051
100,1.0,"$N{=}100, \sigma{=}1$",small pretrend,Kalman Wald,0.074
100,1.0,"$N{=}100, \sigma{=}1$",small pretrend,Kalman deriv,0.054
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Raw Wald,0.081
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Parametric slope,0.094
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,EB Wald,0.067
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Kalman Wald,0.107
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Kalman deriv,0.089
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Raw Wald,0.048
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Parametric slope,0.064
100,1.0,"$N{=}100, \sigma{=}1$",gradual,EB Wald,0.053
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Kalman Wald,0.06
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Kalman deriv,0.051
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Raw Wald,0.048
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Parametric slope,0.064
100,1.0,"$N{=}100, \sigma{=}1$",immediate,EB Wald,0.053
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Kalman Wald,0.06
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Kalman deriv,0.051
