n,sigma,config,pattern,method,level_mse,deriv_mse
500,1.0,"$N{=}500, \sigma{=}1$",fadeout,LOESS,0.007121223369905112,0.0058622378687288685
500,1.0,"$N{=}500, \sigma{=}1$",fadeout,Kalman smoother,0.005689869374776741,0.0033906027610572744
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Raw,0.009858823084192232,0.006794901658410554
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Parametric linear,0.031054448567784325,0.0006021288826882936
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,James-Stein,0.006271534887505301,0.004073792427020302
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Empirical Bayes,0.008576638676145016,0.0023856528482684362
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,LOESS,0.004326043736173171,0.004784111452643405
500,1.0,"$N{=}500, \sigma{=}1$",anticipation,Kalman smoother,0.0023371975316214665,0.0002790092977431293
200,2.0,"$N{=}200, \sigma{=}2$",no effect,Raw,0.09858823084192232,0.06794901658410554
200,2.0,"$N{=}200, \sigma{=}2$",no effect,Parametric linear,0.05974848900816483,0.000705128481055638
200,2.0,"$N{=}200, \sigma{=}2$",no effect,James-Stein,0.0516529231724698,0.035208156108702024
200,2.0,"$N{=}200, \sigma{=}2$",no effect,Empirical Bayes,0.0035782854684734636,0.0023895686358331534
200,2.0,"$N{=}200, \sigma{=}2$",no effect,LOESS,0.043095601178933234,0.04776866859351767
200,2.0,"$N{=}200, \sigma{=}2$",no effect,Kalman smoother,0.013201971054059744,0.0005691120179697145
200,2.0,"$N{=}200, \sigma{=}2$",gradual,Raw,0.09858823084192232,0.06794901658410554
200,2.0,"$N{=}200, \sigma{=}2$",gradual,Parametric linear,0.14195065656838096,0.002080175370243891
200,2.0,"$N{=}200, \sigma{=}2$",gradual,James-Stein,0.0516529231724698,0.035208156108702024
200,2.0,"$N{=}200, \sigma{=}2$",gradual,Empirical Bayes,0.05378362545157958,0.005564814047880869
200,2.0,"$N{=}200, \sigma{=}2$",gradual,LOESS,0.043199910346847364,0.04779217608554782
200,2.0,"$N{=}200, \sigma{=}2$",gradual,Kalman smoother,0.014613226024254205,0.0010582873656028936
200,2.0,"$N{=}200, \sigma{=}2$",immediate,Raw,0.09858823084192232,0.06794901658410556
200,2.0,"$N{=}200, \sigma{=}2$",immediate,Parametric linear,0.14208438174544183,0.0040595682569664485
200,2.0,"$N{=}200, \sigma{=}2$",immediate,James-Stein,0.0516529231724698,0.035208156108702024
200,2.0,"$N{=}200, \sigma{=}2$",immediate,Empirical Bayes,0.054713408133511665,0.006534564350303484
200,2.0,"$N{=}200, \sigma{=}2$",immediate,LOESS,0.044740987633326935,0.04837622912758037
200,2.0,"$N{=}200, \sigma{=}2$",immediate,Kalman smoother,0.01801990561121131,0.0029892959445102798
200,2.0,"$N{=}200, \sigma{=}2$",fadeout,Raw,0.09858823084192232,0.06794901658410554
200,2.0,"$N{=}200, \sigma{=}2$",fadeout,Parametric linear,0.11356183612976692,0.005870662925752113
200,2.0,"$N{=}200, \sigma{=}2$",fadeout,James-Stein,0.0516529231724698,0.035208156108702024
200,2.0,"$N{=}200, \sigma{=}2$",fadeout,Empirical Bayes,0.04015475750254642,0.007190231367290467
200,2.0,"$N{=}200, \sigma{=}2$",fadeout,LOESS,0.0459165636812415,0.04882707045475147
200,2.0,"$N{=}200, \sigma{=}2$",fadeout,Kalman smoother,0.02115662900229146,0.0046590326952630845
200,2.0,"$N{=}200, \sigma{=}2$",anticipation,Raw,0.09858823084192232,0.06794901658410556
200,2.0,"$N{=}200, \sigma{=}2$",anticipation,Parametric linear,0.08573466903312184,0.0012423554996239036
200,2.0,"$N{=}200, \sigma{=}2$",anticipation,James-Stein,0.052967211794122795,0.035846549719505336
200,2.0,"$N{=}200, \sigma{=}2$",anticipation,Empirical Bayes,0.055045386807980975,0.004911142881210014
200,2.0,"$N{=}200, \sigma{=}2$",anticipation,LOESS,0.043108845250822155,0.04777453799472319
200,2.0,"$N{=}200, \sigma{=}2$",anticipation,Kalman smoother,0.013926858263178347,0.0007495373874884588
100,1.0,"$N{=}100, \sigma{=}1$",no effect,Raw,0.04929411542096116,0.03397450829205278
100,1.0,"$N{=}100, \sigma{=}1$",no effect,Parametric linear,0.02987424450408242,0.000352564240527819
100,1.0,"$N{=}100, \sigma{=}1$",no effect,James-Stein,0.0258264615862349,0.017604078054351012
100,1.0,"$N{=}100, \sigma{=}1$",no effect,Empirical Bayes,0.0017891427342367318,0.001194784317916577
100,1.0,"$N{=}100, \sigma{=}1$",no effect,LOESS,0.021547800589466624,0.023884334296758843
100,1.0,"$N{=}100, \sigma{=}1$",no effect,Kalman smoother,0.007705774247515601,0.00043735525444550585
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Raw,0.04929411542096117,0.03397450829205278
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Parametric linear,0.11135534479870234,0.00172005791923299
100,1.0,"$N{=}100, \sigma{=}1$",gradual,James-Stein,0.0258264615862349,0.017604078054351015
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Empirical Bayes,0.03525499009742948,0.004475231605352446
100,1.0,"$N{=}100, \sigma{=}1$",gradual,LOESS,0.021649055330981434,0.0239094743313073
100,1.0,"$N{=}100, \sigma{=}1$",gradual,Kalman smoother,0.008560452930218848,0.0008299651555820567
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Raw,0.04929411542096116,0.03397450829205278
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Parametric linear,0.1115259700987354,0.003700822082534411
100,1.0,"$N{=}100, \sigma{=}1$",immediate,James-Stein,0.0258264615862349,0.017604078054351015
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Empirical Bayes,0.03597038389398327,0.004970477679251288
100,1.0,"$N{=}100, \sigma{=}1$",immediate,LOESS,0.023189457519348575,0.024500769363034677
100,1.0,"$N{=}100, \sigma{=}1$",immediate,Kalman smoother,0.011456175197238008,0.0026840429138999568
100,1.0,"$N{=}100, \sigma{=}1$",fadeout,Raw,0.04929411542096116,0.03397450829205278
100,1.0,"$N{=}100, \sigma{=}1$",fadeout,Parametric linear,0.08323029543100975,0.005515661713521732
100,1.0,"$N{=}100, \sigma{=}1$",fadeout,James-Stein,0.0258264615862349,0.017604078054351012
100,1.0,"$N{=}100, \sigma{=}1$",fadeout,Empirical Bayes,0.028892892286145805,0.0052750878806567736
100,1.0,"$N{=}100, \sigma{=}1$",fadeout,LOESS,0.02436477976630988,0.024954288368240093
100,1.0,"$N{=}100, \sigma{=}1$",fadeout,Kalman smoother,0.014028004047230756,0.00426431852508801
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Raw,0.04929411542096116,0.03397450829205278
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Parametric linear,0.055472091651558114,0.0008873877991739684
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,James-Stein,0.02711545702945771,0.01823128580598729
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Empirical Bayes,0.03866072253055866,0.003910226759381551
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,LOESS,0.02156243231812599,0.02389079276025231
100,1.0,"$N{=}100, \sigma{=}1$",anticipation,Kalman smoother,0.008063494745268518,0.0005598202209240659
